idencuesta,ola,ola_num,muestra,estrato_disenno,segmento_disenno,ponderador02,m0_sexo,m02,m01,m36,m0_edad,n_visitas_entr,responde,m02_fac,m01_fac,m36_fac
1101013,2021,5,1,Ciudades Grandes,110101,0.727105498313904,2,6,5,4,30,4,1,Desempleado,Media,Soltero
1101013,2022,6,1,Ciudades Grandes,110101,,,,,,,,0,,,
1101021,2016,0,1,Ciudades Grandes,110102,0.535000026226044,1,1,8,1,51,2,1,Trabajo Remunerado,Universitaria,En Pareja
1101021,2017,1,1,Ciudades Grandes,110102,0.45197919011116,1,1,9,,52,4,1,Trabajo Remunerado,Universitaria,
1101021,2018,2,1,Ciudades Grandes,110102,0.739594638347626,1,1,7,1,53,3,1,Trabajo Remunerado,Técnica,En Pareja
1101021,2019,3,1,Ciudades Grandes,110102,1.20702719688416,1,1,8,1,54,3,1,Trabajo Remunerado,Universitaria,En Pareja
1101021,2021,5,1,Ciudades Grandes,110102,1.25275468826294,1,1,8,1,55,9,1,Trabajo Remunerado,Universitaria,En Pareja
1101021,2022,6,1,Ciudades Grandes,110102,,,,,,,,0,,,
1101022,2016,0,1,Ciudades Grandes,110102,0.535000026226044,1,5,5,1,69,2,1,Jubilado,Media,En Pareja
1101022,2017,1,1,Ciudades Grandes,110102,0.45197919011116,1,5,7,,70,3,1,Jubilado,Técnica,
1101022,2018,2,1,Ciudades Grandes,110102,,,,,,,,0,,,
1101022,2019,3,1,Ciudades Grandes,110102,,,,,,,,0,,,
1101022,2021,5,1,Ciudades Grandes,110102,,,,,,,,0,,,
1101022,2022,6,1,Ciudades Grandes,110102,,,,,,,,0,,,
1101023,2016,0,1,Ciudades Grandes,110102,0.535000026226044,1,1,4,8,62,3,1,Trabajo Remunerado,Media,Soltero
1101023,2017,1,1,Ciudades Grandes,110102,0.45197919011116,1,1,4,,63,2,1,Trabajo Remunerado,Media,
1101023,2018,2,1,Ciudades Grandes,110102,0.739594638347626,1,1,4,8,63,2,1,Trabajo Remunerado,Media,Soltero
1101023,2019,3,1,Ciudades Grandes,110102,0.241405427455902,1,1,5,1,64,3,1,Trabajo Remunerado,Media,En Pareja
1101023,2021,5,1,Ciudades Grandes,110102,0.62637734413147,1,2,4,1,65,6,1,Trabajo Remunerado,Media,En Pareja
1101023,2022,6,1,Ciudades Grandes,110102,0.428863495588303,1,1,4,1,67,,1,Trabajo Remunerado,Media,En Pareja
1101032,2016,0,1,Ciudades Grandes,110103,0.776000022888184,2,2,5,1,54,3,1,Trabajo Remunerado,Media,En Pareja
1101032,2017,1,1,Ciudades Grandes,110103,0.655559122562408,2,,5,,55,2,1,,Media,
1101032,2018,2,1,Ciudades Grandes,110103,1.31880903244019,2,7,5,1,56,5,1,Trabajo Doméstico No Remunerado,Media,En Pareja
1101032,2019,3,1,Ciudades Grandes,110103,0.888183653354645,2,2,5,1,57,3,1,Trabajo Remunerado,Media,En Pareja
1101032,2021,5,1,Ciudades Grandes,110103,0.888684511184692,2,7,5,1,58,4,1,Trabajo Doméstico No Remunerado,Media,En Pareja
1101032,2022,6,1,Ciudades Grandes,110103,1.18220090866089,2,7,5,1,60,,1,Trabajo Doméstico No Remunerado,Media,En Pareja
1101033,2016,0,1,Ciudades Grandes,110103,0.776000022888184,2,4,6,2,32,2,1,Otras Categorías,Técnica,En Pareja
1101033,2017,1,1,Ciudades Grandes,110103,0.655559122562408,2,4,6,,33,2,1,Otras Categorías,Técnica,
1101033,2018,2,1,Ciudades Grandes,110103,1.31880903244019,2,4,4,4,34,5,1,Otras Categorías,Media,Soltero
1101033,2019,3,1,Ciudades Grandes,110103,1.18424487113953,2,2,9,4,35,4,1,Trabajo Remunerado,Universitaria,Soltero
1101033,2021,5,1,Ciudades Grandes,110103,0.888684511184692,2,2,5,4,36,9,1,Trabajo Remunerado,Media,Soltero
1101033,2022,6,1,Ciudades Grandes,110103,,,,,,,,0,,,
1101041,2016,0,1,Ciudades Grandes,110104,1.10599994659424,1,1,5,2,38,1,1,Trabajo Remunerado,Media,En Pareja
1101041,2017,1,1,Ciudades Grandes,110104,0.934090614318848,1,1,6,,40,1,1,Trabajo Remunerado,Técnica,
1101041,2018,2,1,Ciudades Grandes,110104,3.05699133872986,1,1,6,2,41,3,1,Trabajo Remunerado,Técnica,En Pareja
1101041,2019,3,1,Ciudades Grandes,110104,6.65206098556519,1,1,8,2,42,4,1,Trabajo Remunerado,Universitaria,En Pareja
1101041,2021,5,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101041,2022,6,1,Ciudades Grandes,110104,4.72702884674072,1,1,8,2,45,,1,Trabajo Remunerado,Universitaria,En Pareja
1101042,2016,0,1,Ciudades Grandes,110104,0.552999973297119,1,1,5,4,46,4,1,Trabajo Remunerado,Media,Soltero
1101042,2017,1,1,Ciudades Grandes,110104,0.467045307159424,1,1,5,,47,3,1,Trabajo Remunerado,Media,
1101042,2018,2,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101042,2019,3,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101042,2021,5,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101042,2022,6,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101043,2016,0,1,Ciudades Grandes,110104,0.801999986171722,2,1,5,2,20,5,1,Trabajo Remunerado,Media,En Pareja
1101043,2017,1,1,Ciudades Grandes,110104,0.677411079406738,2,7,5,,21,2,1,Trabajo Doméstico No Remunerado,Media,
1101043,2018,2,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101043,2019,3,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101043,2021,5,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101043,2022,6,1,Ciudades Grandes,110104,,,,,,,,0,,,
1101051,2016,0,1,Ciudades Grandes,110105,0.801999986171722,1,1,8,4,20,1,1,Trabajo Remunerado,Universitaria,Soltero
1101051,2017,1,1,Ciudades Grandes,110105,0.677968919277191,1,1,8,,21,2,1,Trabajo Remunerado,Universitaria,
1101051,2018,2,1,Ciudades Grandes,110105,,,,,,,,0,,,
1101051,2019,3,1,Ciudades Grandes,110105,0.643747866153717,1,1,7,4,23,3,1,Trabajo Remunerado,Técnica,Soltero
1101051,2021,5,1,Ciudades Grandes,110105,,,,,,,,0,,,
1101051,2022,6,1,Ciudades Grandes,110105,,,,,,,,0,,,
1101053,2016,0,1,Ciudades Grandes,110105,1.16400003433228,2,1,8,4,19,2,1,Trabajo Remunerado,Universitaria,Soltero
1101053,2017,1,1,Ciudades Grandes,110105,0.983338594436646,2,4,9,,20,2,1,Otras Categorías,Universitaria,
1101053,2018,2,1,Ciudades Grandes,110105,1.75841188430786,2,4,8,4,22,2,1,Otras Categorías,Universitaria,Soltero
1101053,2019,3,1,Ciudades Grandes,110105,1.48030591011047,2,6,9,4,23,4,1,Desempleado,Universitaria,Soltero
1101053,2021,5,1,Ciudades Grandes,110105,0.888684511184692,2,2,7,2,24,5,1,Trabajo Remunerado,Técnica,En Pareja
1101053,2022,6,1,Ciudades Grandes,110105,,,,,,,,0,,,
1101081,2016,0,1,Ciudades Grandes,110108,2.14000010490417,1,5,3,8,69,2,1,Jubilado,Básica,Soltero
1101081,2017,1,1,Ciudades Grandes,110108,1.80791676044464,1,5,3,,71,2,1,Jubilado,Básica,
1101081,2018,2,1,Ciudades Grandes,110108,1.972252368927,1,5,3,8,72,1,1,Jubilado,Básica,Soltero
1101081,2019,3,1,Ciudades Grandes,110108,2.57499146461487,1,5,3,1,74,3,1,Jubilado,Básica,En Pareja
1101081,2021,5,1,Ciudades Grandes,110108,5.01101875305176,1,5,2,8,75,2,1,Jubilado,Básica,Soltero
1101081,2022,6,1,Ciudades Grandes,110108,3.430908203125,1,5,2,1,76,,1,Jubilado,Básica,En Pareja
1101082,2016,0,1,Ciudades Grandes,110108,0.388000011444092,2,1,5,4,56,6,1,Trabajo Remunerado,Media,Soltero
1101082,2017,1,1,Ciudades Grandes,110108,0.327779471874237,2,2,5,,57,2,1,Trabajo Remunerado,Media,
1101082,2018,2,1,Ciudades Grandes,110108,0.439602971076965,2,2,5,1,57,5,1,Trabajo Remunerado,Media,En Pareja
1101082,2019,3,1,Ciudades Grandes,110108,0.296061217784882,2,6,5,4,58,3,1,Desempleado,Media,Soltero
1101082,2021,5,1,Ciudades Grandes,110108,,,,,,,,0,,,
1101082,2022,6,1,Ciudades Grandes,110108,1.32997584342957,2,2,5,4,61,,1,Trabajo Remunerado,Media,Soltero
1101083,2016,0,1,Ciudades Grandes,110108,2.67499995231628,1,6,5,4,46,7,1,Desempleado,Media,Soltero
1101083,2017,1,1,Ciudades Grandes,110108,2.25989603996277,1,1,5,,46,2,1,Trabajo Remunerado,Media,
1101083,2018,2,1,Ciudades Grandes,110108,2.46531510353088,1,6,5,5,48,1,1,Desempleado,Media,Soltero
1101083,2019,3,1,Ciudades Grandes,110108,3.86248683929443,1,1,2,5,49,3,1,Trabajo Remunerado,Básica,Soltero
1101083,2021,5,1,Ciudades Grandes,110108,,,,,,,,0,,,
1101083,2022,6,1,Ciudades Grandes,110108,,,,,,,,0,,,
1101102,2016,0,1,Ciudades Grandes,110110,1.16400003433228,2,1,7,2,65,4,1,Trabajo Remunerado,Técnica,En Pareja
1101102,2017,1,1,Ciudades Grandes,110110,0.983338475227356,2,1,4,,66,2,1,Trabajo Remunerado,Media,
1101102,2018,2,1,Ciudades Grandes,110110,1.9782133102417,2,1,7,1,63,12,1,Trabajo Remunerado,Técnica,En Pareja
1101102,2019,3,1,Ciudades Grandes,110110,0.507533490657806,2,1,7,1,64,5,1,Trabajo Remunerado,Técnica,En Pareja
1101102,2021,5,1,Ciudades Grandes,110110,,,,,,,,0,,,
1101102,2022,6,1,Ciudades Grandes,110110,0.379993081092834,2,7,7,1,67,,1,Trabajo Doméstico No Remunerado,Técnica,En Pareja
1101103,2016,0,1,Ciudades Grandes,110110,1.07000005245209,1,1,5,4,35,3,1,Trabajo Remunerado,Media,Soltero
1101103,2017,1,1,Ciudades Grandes,110110,0.90395849943161,1,1,5,,36,3,1,Trabajo Remunerado,Media,
1101103,2018,2,1,Ciudades Grandes,110110,1.47918927669525,1,3,5,4,37,4,1,Trabajo Remunerado,Media,Soltero
1101103,2019,3,1,Ciudades Grandes,110110,0.827675700187683,1,1,5,4,38,3,1,Trabajo Remunerado,Media,Soltero
1101103,2021,5,1,Ciudades Grandes,110110,1.43171954154968,1,1,5,4,39,5,1,Trabajo Remunerado,Media,Soltero
1101103,2022,6,1,Ciudades Grandes,110110,0.49012964963913,1,1,5,4,41,,1,Trabajo Remunerado,Media,Soltero
1101111,2016,0,1,Ciudades Grandes,110111,1.74600005149841,2,1,5,2,26,4,1,Trabajo Remunerado,Media,En Pareja
1101111,2017,1,1,Ciudades Grandes,110111,1.47500801086426,2,1,5,,26,2,1,Trabajo Remunerado,Media,
1101111,2018,2,1,Ciudades Grandes,110111,1.31880879402161,2,1,5,4,26,1,1,Trabajo Remunerado,Media,Soltero
1101111,2019,3,1,Ciudades Grandes,110111,0.888183653354645,2,1,5,2,27,3,1,Trabajo Remunerado,Media,En Pareja
1101111,2021,5,1,Ciudades Grandes,110111,,,,,,,,0,,,
1101111,2022,6,1,Ciudades Grandes,110111,1.18220090866089,2,1,5,2,31,,1,Trabajo Remunerado,Media,En Pareja
1101113,2016,0,1,Ciudades Grandes,110111,0.801999986171722,1,1,5,4,34,3,1,Trabajo Remunerado,Media,Soltero
1101113,2017,1,1,Ciudades Grandes,110111,0.677968919277191,1,1,5,,35,2,1,Trabajo Remunerado,Media,
1101113,2018,2,1,Ciudades Grandes,110111,0.493063092231751,1,1,5,4,36,1,1,Trabajo Remunerado,Media,Soltero
1101113,2019,3,1,Ciudades Grandes,110111,0.643747866153717,1,1,5,4,37,3,1,Trabajo Remunerado,Media,Soltero
1101113,2021,5,1,Ciudades Grandes,110111,4.45423889160156,1,1,5,4,38,4,1,Trabajo Remunerado,Media,Soltero
1101113,2022,6,1,Ciudades Grandes,110111,0.571817994117737,1,1,5,2,40,,1,Trabajo Remunerado,Media,En Pareja
1101132,2016,0,1,Ciudades Grandes,110113,1.16400003433228,2,1,5,1,29,2,1,Trabajo Remunerado,Media,En Pareja
1101132,2017,1,1,Ciudades Grandes,110113,0.983338594436646,2,2,5,,30,5,1,Trabajo Remunerado,Media,
1101132,2018,2,1,Ciudades Grandes,110113,0.879205882549286,2,7,5,2,31,10,1,Trabajo Doméstico No Remunerado,Media,En Pareja
1101132,2019,3,1,Ciudades Grandes,110113,1.18424487113953,2,1,5,2,32,3,1,Trabajo Remunerado,Media,En Pareja
1101132,2021,5,1,Ciudades Grandes,110113,0.888684511184692,2,9,5,4,34,5,1,Otras Categorías,Media,Soltero
1101132,2022,6,1,Ciudades Grandes,110113,,,,,,,,0,,,
1101133,2016,0,1,Ciudades Grandes,110113,1.16400003433228,2,3,4,5,62,3,1,Trabajo Remunerado,Media,Soltero
1101133,2017,1,1,Ciudades Grandes,110113,0.983338594436646,2,1,4,,63,2,1,Trabajo Remunerado,Media,
1101133,2018,2,1,Ciudades Grandes,110113,0.879205882549286,2,1,5,5,64,3,1,Trabajo Remunerado,Media,Soltero
1101133,2019,3,1,Ciudades Grandes,110113,0.592122435569763,2,1,5,5,65,5,1,Trabajo Remunerado,Media,Soltero
1101133,2021,5,1,Ciudades Grandes,110113,1.11085557937622,2,6,5,5,67,13,1,Desempleado,Media,Soltero
1101133,2022,6,1,Ciudades Grandes,110113,1.77330112457275,2,5,4,5,68,,1,Jubilado,Media,Soltero
1101151,2016,0,1,Ciudades Grandes,110115,2.14000010490417,1,4,8,4,22,2,1,Otras Categorías,Universitaria,Soltero
1101151,2017,1,1,Ciudades Grandes,110115,1.80791699886322,1,2,8,,23,2,1,Trabajo Remunerado,Universitaria,
1101151,2018,2,1,Ciudades Grandes,110115,1.972252368927,1,6,8,4,24,3,1,Desempleado,Universitaria,Soltero
1101151,2019,3,1,Ciudades Grandes,110115,2.57499146461487,1,1,8,4,25,3,1,Trabajo Remunerado,Universitaria,Soltero
1101151,2021,5,1,Ciudades Grandes,110115,2.78389954566956,1,2,8,4,26,5,1,Trabajo Remunerado,Universitaria,Soltero
1101151,2022,6,1,Ciudades Grandes,110115,2.28727197647095,1,1,8,2,28,,1,Trabajo Remunerado,Universitaria,En Pareja
1101152,2016,0,1,Ciudades Grandes,110115,0.776000022888184,2,2,7,1,29,2,1,Trabajo Remunerado,Técnica,En Pareja
1101152,2017,1,1,Ciudades Grandes,110115,0.655559062957764,2,7,7,,30,2,1,Trabajo Doméstico No Remunerado,Técnica,
1101152,2018,2,1,Ciudades Grandes,110115,0.879205942153931,2,7,7,1,31,2,1,Trabajo Doméstico No Remunerado,Técnica,En Pareja
1101152,2019,3,1,Ciudades Grandes,110115,2.66455125808716,2,6,7,8,33,3,1,Desempleado,Técnica,Soltero
1101152,2021,5,1,Ciudades Grandes,110115,1.99954009056091,2,1,7,8,34,7,1,Trabajo Remunerado,Técnica,Soltero
1101152,2022,6,1,Ciudades Grandes,110115,0.886650562286377,2,1,7,8,35,,1,Trabajo Remunerado,Técnica,Soltero
1101153,2016,0,1,Ciudades Grandes,110115,0.388000011444092,2,2,5,8,53,4,1,Trabajo Remunerado,Media,Soltero
1101153,2017,1,1,Ciudades Grandes,110115,0.327779531478882,2,1,5,,54,2,1,Trabajo Remunerado,Media,
1101153,2018,2,1,Ciudades Grandes,110115,0.439602971076965,2,2,7,1,55,1,1,Trabajo Remunerado,Técnica,En Pareja
1101153,2019,3,1,Ciudades Grandes,110115,1.48030602931976,2,2,7,1,56,4,1,Trabajo Remunerado,Técnica,En Pareja
1101153,2021,5,1,Ciudades Grandes,110115,1.55519783496857,2,2,5,1,57,4,1,Trabajo Remunerado,Media,En Pareja
1101153,2022,6,1,Ciudades Grandes,110115,0.295550227165222,2,2,5,1,59,,1,Trabajo Remunerado,Media,En Pareja
1101171,2016,0,1,Ciudades Grandes,110117,2.40700006484985,1,1,3,1,57,1,1,Trabajo Remunerado,Básica,En Pareja
1101171,2017,1,1,Ciudades Grandes,110117,2.03390693664551,1,1,3,,58,2,1,Trabajo Remunerado,Básica,
1101171,2018,2,1,Ciudades Grandes,110117,1.47918903827667,1,1,2,1,59,3,1,Trabajo Remunerado,Básica,En Pareja
1101171,2019,3,1,Ciudades Grandes,110117,1.68983793258667,1,1,2,1,60,4,1,Trabajo Remunerado,Básica,En Pareja
1101171,2021,5,1,Ciudades Grandes,110117,0.626377284526825,1,1,3,1,61,3,1,Trabajo Remunerado,Básica,En Pareja
1101171,2022,6,1,Ciudades Grandes,110117,0.857726991176605,1,1,3,1,63,,1,Trabajo Remunerado,Básica,En Pareja
1101173,2016,0,1,Ciudades Grandes,110117,1.16400003433228,2,9,5,2,25,2,1,Otras Categorías,Media,En Pareja
1101173,2017,1,1,Ciudades Grandes,110117,0.983338594436646,2,7,7,,27,3,1,Trabajo Doméstico No Remunerado,Técnica,
1101173,2018,2,1,Ciudades Grandes,110117,0.879205942153931,2,2,7,2,28,1,1,Trabajo Remunerado,Técnica,En Pareja
1101173,2019,3,1,Ciudades Grandes,110117,0.444091826677322,2,6,7,2,29,3,1,Desempleado,Técnica,En Pareja
1101173,2021,5,1,Ciudades Grandes,110117,0.666513323783875,2,7,7,2,30,3,1,Trabajo Doméstico No Remunerado,Técnica,En Pareja
1101173,2022,6,1,Ciudades Grandes,110117,0.443325281143189,2,9,7,2,32,,1,Otras Categorías,Técnica,En Pareja
1107011,2016,0,1,Ciudades Grandes,110701,1.16400003433228,2,1,9,1,53,3,1,Trabajo Remunerado,Universitaria,En Pareja
1107011,2017,1,1,Ciudades Grandes,110701,0.983338594436646,2,1,9,,54,2,1,Trabajo Remunerado,Universitaria,
1107011,2018,2,1,Ciudades Grandes,110701,1.31880879402161,2,6,9,1,55,3,1,Desempleado,Universitaria,En Pareja
1107011,2019,3,1,Ciudades Grandes,110701,0.666137754917145,2,1,9,2,56,3,1,Trabajo Remunerado,Universitaria,En Pareja
1107011,2021,5,1,Ciudades Grandes,110701,0.874798834323883,2,1,9,7,57,3,1,Trabajo Remunerado,Universitaria,Soltero
1107011,2022,6,1,Ciudades Grandes,110701,0.831234931945801,2,1,9,2,59,,1,Trabajo Remunerado,Universitaria,En Pareja
1107012,2016,0,1,Ciudades Grandes,110701,1.60500001907349,1,6,9,1,55,2,1,Desempleado,Universitaria,En Pareja
1107012,2017,1,1,Ciudades Grandes,110701,1.35593783855438,1,1,9,,56,2,1,Trabajo Remunerado,Universitaria,
1107012,2018,2,1,Ciudades Grandes,110701,1.47918903827667,1,6,9,7,57,2,1,Desempleado,Universitaria,Soltero
1107012,2019,3,1,Ciudades Grandes,110701,1.44843256473541,1,1,9,1,58,3,1,Trabajo Remunerado,Universitaria,En Pareja
1107012,2021,5,1,Ciudades Grandes,110701,2.50550937652588,1,6,9,7,59,3,1,Desempleado,Universitaria,Soltero
1107012,2022,6,1,Ciudades Grandes,110701,1.60823798179626,1,6,9,7,61,,1,Desempleado,Universitaria,Soltero
1107013,2016,0,1,Ciudades Grandes,110701,1.07000005245209,1,2,4,2,42,3,1,Trabajo Remunerado,Media,En Pareja
1107013,2017,1,1,Ciudades Grandes,110701,0.903958559036255,1,1,4,,43,3,1,Trabajo Remunerado,Media,
1107013,2018,2,1,Ciudades Grandes,110701,0.986126184463501,1,1,3,2,44,1,1,Trabajo Remunerado,Básica,En Pareja
1107013,2019,3,1,Ciudades Grandes,110701,,,,,,,,0,,,
1107013,2021,5,1,Ciudades Grandes,110701,,,,,,,,0,,,
1107013,2022,6,1,Ciudades Grandes,110701,,,,,,,,0,,,
1107021,2016,0,1,Ciudades Grandes,110702,4.01200008392334,1,6,7,4,25,2,1,Desempleado,Técnica,Soltero
1107021,2017,1,1,Ciudades Grandes,110702,3.38984489440918,1,3,8,,26,2,1,Trabajo Remunerado,Universitaria,
1107021,2018,2,1,Ciudades Grandes,110702,4.93063068389893,1,1,7,4,27,2,1,Trabajo Remunerado,Técnica,Soltero
1107021,2019,3,1,Ciudades Grandes,110702,0.965621709823608,1,2,9,4,28,4,1,Trabajo Remunerado,Universitaria,Soltero
1107021,2021,5,1,Ciudades Grandes,110702,1.46154701709747,1,9,7,4,29,2,1,Otras Categorías,Técnica,Soltero
1107021,2022,6,1,Ciudades Grandes,110702,1.28659045696259,1,2,7,4,31,,1,Trabajo Remunerado,Técnica,Soltero
1107033,2016,0,1,Ciudades Grandes,110703,1.60500001907349,1,2,5,4,28,1,1,Trabajo Remunerado,Media,Soltero
1107033,2017,1,1,Ciudades Grandes,110703,1.35593783855438,1,1,5,,29,2,1,Trabajo Remunerado,Media,
1107033,2018,2,1,Ciudades Grandes,110703,0.493063092231751,1,1,4,4,29,1,1,Trabajo Remunerado,Media,Soltero
1107033,2019,3,1,Ciudades Grandes,110703,1.28749573230743,1,1,5,4,30,3,1,Trabajo Remunerado,Media,Soltero
1107033,2021,5,1,Ciudades Grandes,110703,,,,,,,,0,,,
1107033,2022,6,1,Ciudades Grandes,110703,1.14363598823547,1,2,5,2,33,,1,Trabajo Remunerado,Media,En Pareja
1107072,2016,0,1,Ciudades Grandes,110707,2.32800006866455,2,6,3,4,23,2,1,Desempleado,Básica,Soltero
1107072,2017,1,1,Ciudades Grandes,110707,1.96667683124542,2,3,8,,24,3,1,Trabajo Remunerado,Universitaria,
1107072,2018,2,1,Ciudades Grandes,110707,,,,,,,,0,,,
1107072,2019,3,1,Ciudades Grandes,110707,0.833244502544403,2,1,7,2,26,3,1,Trabajo Remunerado,Técnica,En Pareja
1107072,2021,5,1,Ciudades Grandes,110707,0.625285685062408,2,1,6,4,28,3,1,Trabajo Remunerado,Técnica,Soltero
1107072,2022,6,1,Ciudades Grandes,110707,1.94088125228882,2,1,5,2,30,,1,Trabajo Remunerado,Media,En Pareja
1107082,2016,0,1,Ciudades Grandes,110708,1.74600005149841,2,1,5,4,41,2,1,Trabajo Remunerado,Media,Soltero
1107082,2017,1,1,Ciudades Grandes,110708,1.47500765323639,2,1,5,,42,1,1,Trabajo Remunerado,Media,
1107082,2018,2,1,Ciudades Grandes,110708,2.63761758804321,2,1,7,4,43,1,1,Trabajo Remunerado,Técnica,Soltero
1107082,2019,3,1,Ciudades Grandes,110708,1.18424487113953,2,2,7,2,44,5,1,Trabajo Remunerado,Técnica,En Pareja
1107082,2021,5,1,Ciudades Grandes,110708,0.888684511184692,2,1,7,4,45,12,1,Trabajo Remunerado,Técnica,Soltero
1107082,2022,6,1,Ciudades Grandes,110708,,,,,,,,0,,,
1107083,2016,0,1,Ciudades Grandes,110708,1.16400003433228,2,7,7,4,28,2,1,Trabajo Doméstico No Remunerado,Técnica,Soltero
1107083,2017,1,1,Ciudades Grandes,110708,0.983338594436646,2,2,5,,29,2,1,Trabajo Remunerado,Media,
1107083,2018,2,1,Ciudades Grandes,110708,,,,,,,,0,,,
1107083,2019,3,1,Ciudades Grandes,110708,1.77636730670929,2,2,4,1,31,5,1,Trabajo Remunerado,Media,En Pareja
1107083,2021,5,1,Ciudades Grandes,110708,1.55519783496857,2,2,4,1,32,7,1,Trabajo Remunerado,Media,En Pareja
1107083,2022,6,1,Ciudades Grandes,110708,3.54660224914551,2,2,4,1,34,,1,Trabajo Remunerado,Media,En Pareja
2101021,2016,0,1,Ciudades Grandes,210102,3.23900008201599,2,2,8,4,18,13,1,Trabajo Remunerado,Universitaria,Soltero
2101021,2017,1,1,Ciudades Grandes,210102,3.58341813087463,2,4,8,,19,2,1,Otras Categorías,Universitaria,
2101021,2018,2,1,Ciudades Grandes,210102,1.17901599407196,2,3,8,4,20,1,1,Trabajo Remunerado,Universitaria,Soltero
2101021,2019,3,1,Ciudades Grandes,210102,,,,,,,,0,,,
2101021,2021,5,1,Ciudades Grandes,210102,2.19821166992188,2,1,8,4,23,7,1,Trabajo Remunerado,Universitaria,Soltero
2101021,2022,6,1,Ciudades Grandes,210102,,,,,,,,0,,,
2101032,2016,0,1,Ciudades Grandes,210103,1.87600004673004,1,1,4,2,34,3,1,Trabajo Remunerado,Media,En Pareja
2101032,2017,1,1,Ciudades Grandes,210103,2.60480237007141,1,1,4,,35,3,1,Trabajo Remunerado,Media,
2101032,2018,2,1,Ciudades Grandes,210103,1.15531325340271,1,1,4,2,36,3,1,Trabajo Remunerado,Media,En Pareja
2101032,2019,3,1,Ciudades Grandes,210103,3.30721473693848,1,1,5,1,37,3,1,Trabajo Remunerado,Media,En Pareja
2101032,2021,5,1,Ciudades Grandes,210103,,,,,,,,0,,,
2101032,2022,6,1,Ciudades Grandes,210103,2.01629781723022,1,1,5,1,40,,1,Trabajo Remunerado,Media,En Pareja
2101033,2016,0,1,Ciudades Grandes,210103,3.75200009346008,1,1,5,1,56,4,1,Trabajo Remunerado,Media,En Pareja
2101033,2017,1,1,Ciudades Grandes,210103,5.20960474014282,1,1,5,,58,2,1,Trabajo Remunerado,Media,
2101033,2018,2,1,Ciudades Grandes,210103,2.31062650680542,1,1,5,1,60,3,1,Trabajo Remunerado,Media,En Pareja
2101033,2019,3,1,Ciudades Grandes,210103,2.64577174186707,1,2,5,1,61,3,1,Trabajo Remunerado,Media,En Pareja
2101033,2021,5,1,Ciudades Grandes,210103,4.30202388763428,1,2,5,1,62,9,1,Trabajo Remunerado,Media,En Pareja
2101033,2022,6,1,Ciudades Grandes,210103,1.61303818225861,1,5,5,1,64,,1,Jubilado,Media,En Pareja
2101041,2016,0,1,Ciudades Grandes,210104,2.16000008583069,2,7,5,1,48,9,1,Trabajo Doméstico No Remunerado,Media,En Pareja
2101041,2017,1,1,Ciudades Grandes,210104,,,,,,,,0,,,
